run,method,iterations,runtime,tp,fn,fp,tn,accuracy,precision,recall,specificity,f1
run_03,DAPSO-10,100,188.0,22,4,10,78,0.8771929824561403,0.6875,0.8461538461538461,0.8863636363636364,0.7586206896551724
run_04,PSO,10,41.0,16,10,0,88,0.9122807017543859,1.0,0.6153846153846154,1.0,0.761904761904762
run_04,PSO,20,94.0,16,10,0,88,0.9122807017543859,1.0,0.6153846153846154,1.0,0.761904761904762
run_04,PSO,30,141.0,16,10,0,88,0.9122807017543859,1.0,0.6153846153846154,1.0,0.761904761904762
run_04,PSO,40,200.0,16,10,0,88,0.9122807017543859,1.0,0.6153846153846154,1.0,0.761904761904762
run_04,PSO,50,247.0,16,10,0,88,0.9122807017543859,1.0,0.6153846153846154,1.0,0.761904761904762
run_04,PSO,60,352.0,16,10,0,88,0.9122807017543859,1.0,0.6153846153846154,1.0,0.761904761904762
run_04,PSO,70,406.0,16,10,0,88,0.9122807017543859,1.0,0.6153846153846154,1.0,0.761904761904762
run_04,PSO,80,334.0,16,10,0,88,0.9122807017543859,1.0,0.6153846153846154,1.0,0.761904761904762
run_04,PSO,90,370.0,16,10,0,88,0.9122807017543859,1.0,0.6153846153846154,1.0,0.761904761904762
run_04,PSO,100,452.0,16,10,0,88,0.9122807017543859,1.0,0.6153846153846154,1.0,0.761904761904762
run_04,DAPSO-4,10,35.0,22,4,10,78,0.8771929824561403,0.6875,0.8461538461538461,0.8863636363636364,0.7586206896551724
run_04,DAPSO-4,20,56.0,21,5,7,81,0.8947368421052632,0.75,0.8076923076923077,0.9204545454545454,0.7777777777777779
run_04,DAPSO-4,30,82.0,21,5,8,80,0.8859649122807017,0.7241379310344828,0.8076923076923077,0.9090909090909091,0.7636363636363636
run_04,DAPSO-4,40,100.0,21,5,8,80,0.8859649122807017,0.7241379310344828,0.8076923076923077,0.9090909090909091,0.7636363636363636
run_04,DAPSO-4,50,172.0,21,5,8,80,0.8859649122807017,0.7241379310344828,0.8076923076923077,0.9090909090909091,0.7636363636363636
run_04,DAPSO-4,60,191.0,21,5,8,80,0.8859649122807017,0.7241379310344828,0.8076923076923077,0.9090909090909091,0.7636363636363636
run_04,DAPSO-4,70,162.0,21,5,8,80,0.8859649122807017,0.7241379310344828,0.8076923076923077,0.9090909090909091,0.7636363636363636
run_04,DAPSO-4,80,177.0,21,5,8,80,0.8859649122807017,0.7241379310344828,0.8076923076923077,0.9090909090909091,0.7636363636363636
run_04,DAPSO-4,90,193.0,21,5,8,80,0.8859649122807017,0.7241379310344828,0.8076923076923077,0.9090909090909091,0.7636363636363636
run_04,DAPSO-4,100,318.0,21,5,8,80,0.8859649122807017,0.7241379310344828,0.8076923076923077,0.9090909090909091,0.7636363636363636
run_04,DAPSO-10,10,21.0,21,5,7,81,0.8947368421052632,0.75,0.8076923076923077,0.9204545454545454,0.7777777777777779
